NumberOfExample,AverageQuadraticErrorTest,AverageQuadraticErrorLearning,MistakePerEpochTest,MistakePerEpochLearning
45000.0,14.575556739610185,15.186713859857193,16.491666666666667,17.4125
50000.0,14.197480504567004,14.822109433739767,16.566666666666666,17.333333333333336
55000.0,13.59503002224185,14.097836542268457,15.950000000000001,16.660416666666666
60000.0,14.38034443880988,15.028826030533162,16.900000000000002,17.7875
65000.0,13.21920876431201,13.770024123048344,15.358333333333333,16.460416666666667
70000.0,13.640030395876076,14.257936010370553,16.225,17.010416666666668
75000.0,13.149965933756233,13.739423883934407,15.975,16.53125
80000.0,13.014148992915517,13.64601824064773,15.299999999999999,16.308333333333334
85000.0,13.03105301266633,13.664306262926909,15.341666666666667,16.297916666666666
90000.0,12.415072428463938,13.036022610427182,14.908333333333335,15.402083333333334
95000.0,12.777446166206218,13.442581222879191,15.166666666666668,15.98125
100000.0,12.541128690348186,13.067072573127325,14.533333333333335,15.447916666666666
105000.0,12.46670837495354,12.91675009081131,14.558333333333334,15.081249999999999
110000.0,11.771895345862339,12.276668850054943,14.616666666666667,15.079166666666666
115000.0,12.455547433430095,12.938681219072928,15.016666666666667,15.620833333333334
120000.0,12.558564736416347,13.176352531932196,14.633333333333335,15.681249999999999
125000.0,11.611835816532837,12.152977651891685,14.166666666666666,14.787500000000001
130000.0,11.73347802647204,12.2406539141085,14.05,14.681250000000002
135000.0,12.217487893226274,12.697876765190447,14.958333333333334,15.572916666666666
140000.0,11.712335459067209,12.24757319230814,14.333333333333334,14.99375
145000.0,11.352808071669433,12.033061008291991,13.741666666666665,14.660416666666668
150000.0,11.620526038578845,12.157630445795906,14.216666666666667,14.497916666666665
155000.0,11.771180102400013,12.179788217309568,14.325,14.660416666666668
160000.0,11.76357358338518,12.125856251736108,14.083333333333334,14.656250000000002
165000.0,11.995043533681866,12.472486249300495,14.458333333333334,15.164583333333335
170000.0,11.798049178258472,12.180427170842815,14.116666666666667,14.710416666666667
175000.0,12.072589041064063,12.616241318320093,14.541666666666666,15.24375
180000.0,12.016724844831588,12.434628090343244,14.274999999999999,14.787500000000001
185000.0,11.690886709115981,12.068258602677854,14.108333333333334,14.533333333333335
190000.0,11.20208545485681,11.620468267696115,13.475000000000001,14.104166666666668
195000.0,11.298390224332607,11.750050390954629,13.750000000000002,14.354166666666668
0.0,192.54438823534403,192.12103889333113,89.61666666666666,90.20416666666667
5000.0,35.743194584308405,35.91113843476847,50.06666666666667,50.645833333333336
10000.0,26.96605290286523,27.362534938988443,32.18333333333334,32.73125
15000.0,22.24024942303826,22.735333159879158,24.53333333333333,26.310416666666665
20000.0,19.479994027628532,20.046169179375138,19.941666666666666,20.904166666666665
25000.0,17.4296125137661,18.02496994717857,17.375,18.520833333333332
30000.0,16.592691208389134,17.19394719395766,17.675,18.62291666666667
35000.0,16.817184340340383,17.209466826377145,17.866666666666667,18.539583333333333
40000.0,15.530530933233491,16.188564292751977,17.741666666666667,18.862499999999997
45000.0,15.287583400671934,15.788461532959916,16.883333333333333,17.53125
50000.0,14.858738790793819,15.469391137134942,16.433333333333334,17.472916666666666
55000.0,14.08063007139169,14.528303125292025,16.375,16.885416666666668
60000.0,13.725370807840118,14.287565633430379,15.325,16.177083333333332
65000.0,13.730498255070342,14.4024350571744,15.75,16.70625
70000.0,14.130897256390554,14.86305280781097,16.566666666666666,17.777083333333334
75000.0,13.769945950773439,14.245677609372182,15.7,16.339583333333334
80000.0,13.250538599127731,13.836515748178682,15.516666666666667,16.391666666666666
85000.0,13.150219249798656,13.804547868042594,14.891666666666667,15.985416666666666
